'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMostOne(01_BB_540)';'AtMostOne';'01_BB_540';;1.000;0.624;0.389
'Participation(01_BB_540)';'Participation';'01_BB_540';;0.624;0.389;0.243
'RespondedExistence(01_BB_540, 01_BB_770)';'RespondedExistence';'01_BB_540';'01_BB_770';0.985;0.614;0.454
'NotChainSuccession(01_BB_540, 01_BB_770)';'NotChainSuccession';'01_BB_540';'01_BB_770';0.649;0.405;0.299
'AlternateResponse(01_BB_540, 01_BB_775)';'AlternateResponse';'01_BB_540';'01_BB_775';0.565;0.352;0.145
'NotChainSuccession(01_BB_540, 01_BB_775)';'NotChainSuccession';'01_BB_540';'01_BB_775';0.893;0.368;0.230
'RespondedExistence(01_BB_540, 01_HOOFD_010)';'RespondedExistence';'01_BB_540';'01_HOOFD_010';1.000;0.624;0.622
'NotChainSuccession(01_BB_540, 01_HOOFD_010)';'NotChainSuccession';'01_BB_540';'01_HOOFD_010';1.000;0.624;0.622
'RespondedExistence(01_BB_540, 01_HOOFD_011)';'RespondedExistence';'01_BB_540';'01_HOOFD_011';0.669;0.417;0.296
'NotSuccession(01_BB_540, 01_HOOFD_011)';'NotSuccession';'01_BB_540';'01_HOOFD_011';0.996;0.622;0.441
'RespondedExistence(01_BB_540, 01_HOOFD_015)';'RespondedExistence';'01_BB_540';'01_HOOFD_015';1.000;0.624;0.622
'NotChainSuccession(01_BB_540, 01_HOOFD_015)';'NotChainSuccession';'01_BB_540';'01_HOOFD_015';0.999;0.623;0.621
'RespondedExistence(01_BB_540, 01_HOOFD_020)';'RespondedExistence';'01_BB_540';'01_HOOFD_020';1.000;0.624;0.621
'NotChainSuccession(01_BB_540, 01_HOOFD_020)';'NotChainSuccession';'01_BB_540';'01_HOOFD_020';1.000;0.624;0.621
'RespondedExistence(01_BB_540, 01_HOOFD_030_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_030_1';0.965;0.602;0.570
'NotChainSuccession(01_BB_540, 01_HOOFD_030_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_030_1';1.000;0.624;0.590
'RespondedExistence(01_BB_540, 01_HOOFD_030_2)';'RespondedExistence';'01_BB_540';'01_HOOFD_030_2';0.965;0.602;0.565
'NotChainSuccession(01_BB_540, 01_HOOFD_030_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_030_2';1.000;0.624;0.586
