Constraint,p_value,Measure_VAR1,Measure_VAR2,ABS-Difference,Natural_Language_Description
RespondedExistence(16_LGSD_010:01_HOOFD_200),0.001,NaN,0.989011,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_200] occurs. 
Precedence(06_VD_060_4:01_HOOFD_492_1),0.001,0.0625,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: [06_VD_060_4] occurred before it. 
RespondedExistence(16_LGSD_010:01_HOOFD_195),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_195] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_380),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_380] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_370),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_370] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_375),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_375] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_330),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_330] occurs. 
RespondedExistence(01_HOOFD_496_2:01_HOOFD_011),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: also [01_HOOFD_011] occurs. 
RespondedExistence(01_HOOFD_456:10_UOV_050_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [10_UOV_050_1] occurs. 
RespondedExistence(01_HOOFD_496_2:01_HOOFD_020),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: also [01_HOOFD_020] occurs. 
RespondedExistence(01_HOOFD_496_1:01_HOOFD_491),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_1] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_480),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_480] occurs. 
RespondedExistence(01_HOOFD_492_2:01_BB_775),0.001,0.1875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_BB_775] occurs. 
Precedence(01_HOOFD_030_1:01_HOOFD_496_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: [01_HOOFD_030_1] occurred before it. 
Precedence(01_HOOFD_030_1:01_HOOFD_496_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_1] occurs: [01_HOOFD_030_1] occurred before it. 
RespondedExistence(16_LGSD_010:01_HOOFD_430),0.001,NaN,0.85714287,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_430] occurs. 
Precedence(01_HOOFD_030_1:01_HOOFD_498),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: [01_HOOFD_030_1] occurred before it. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_491),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_011),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_011] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_030_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_030_1] occurs. 
Precedence(01_HOOFD_011:01_HOOFD_496_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_1] occurs: [01_HOOFD_011] occurred before it. 
