Constraint,p_value,Measure_VAR1,Measure_VAR2,ABS-Difference,Natural_Language_Description
RespondedExistence(ER Triage:Admission NC),0.001,0.42105263,0.79498523,0.3739326,In variant 2 it is 37.39326% more likely than variant1 that if [ER Triage] occurs: also [Admission NC] occurs. 
Participation(Admission NC),0.001,0.42105263,0.79498523,0.3739326,In variant 2 it is 37.39326% more likely than variant1 that [Admission NC] occurs in every process instance. 
RespondedExistence(ER Sepsis Triage:Admission NC),0.001,0.42105263,0.79498523,0.3739326,In variant 2 it is 37.39326% more likely than variant1 that if [ER Sepsis Triage] occurs: also [Admission NC] occurs. 
AlternateResponse(ER Registration:Admission NC),0.001,0.42105263,0.79498523,0.3739326,In variant 2 it is 37.39326% more likely than variant1 that if [ER Registration] occurs: [Admission NC] will occur afterwards without any other occurrence of [ER Registration] in between. 
RespondedExistence(ER Registration:IV Antibiotics),0.001,0.4868421,0.8259587,0.33911663,In variant 2 it is 33.911663% more likely than variant1 that if [ER Registration] occurs: also [IV Antibiotics] occurs. 
RespondedExistence(ER Triage:IV Antibiotics),0.001,0.4868421,0.8259587,0.33911663,In variant 2 it is 33.911663% more likely than variant1 that if [ER Triage] occurs: also [IV Antibiotics] occurs. 
Participation(IV Antibiotics),0.001,0.4868421,0.8259587,0.33911663,In variant 2 it is 33.911663% more likely than variant1 that [IV Antibiotics] occurs in every process instance. 
AlternateResponse(ER Sepsis Triage:IV Antibiotics),0.001,0.4868421,0.8259587,0.33911663,In variant 2 it is 33.911663% more likely than variant1 that if [ER Sepsis Triage] occurs: [IV Antibiotics] will occur afterwards without any other occurrence of [ER Sepsis Triage] in between. 
Participation(IV Liquid),0.001,0.4473684,0.75958705,0.31221864,In variant 2 it is 31.221863% more likely than variant1 that [IV Liquid] occurs in every process instance. 
RespondedExistence(ER Sepsis Triage:IV Liquid),0.001,0.4473684,0.75958705,0.31221864,In variant 2 it is 31.221863% more likely than variant1 that if [ER Sepsis Triage] occurs: also [IV Liquid] occurs. 
RespondedExistence(ER Registration:IV Liquid),0.001,0.4473684,0.75958705,0.31221864,In variant 2 it is 31.221863% more likely than variant1 that if [ER Registration] occurs: also [IV Liquid] occurs. 
RespondedExistence(ER Triage:IV Liquid),0.001,0.4473684,0.75958705,0.31221864,In variant 2 it is 31.221863% more likely than variant1 that if [ER Triage] occurs: also [IV Liquid] occurs. 
AtMostOne(CRP),0.001,0.6031746,0.3018018,0.30137283,In variant 1 it is 30.137283% more likely than variant2 that [CRP] may occur at most one time in a process instance. 
RespondedExistence(CRP:Admission NC),0.001,0.50793654,0.8048048,0.29686826,In variant 2 it is 29.686827% more likely than variant1 that if [CRP] occurs: also [Admission NC] occurs. 
RespondedExistence(ER Sepsis Triage:LacticAcid),0.001,0.56578946,0.8613569,0.29556745,In variant 2 it is 29.556746% more likely than variant1 that if [ER Sepsis Triage] occurs: also [LacticAcid] occurs. 
RespondedExistence(ER Triage:LacticAcid),0.001,0.56578946,0.8613569,0.29556745,In variant 2 it is 29.556746% more likely than variant1 that if [ER Triage] occurs: also [LacticAcid] occurs. 
Participation(LacticAcid),0.001,0.56578946,0.8613569,0.29556745,In variant 2 it is 29.556746% more likely than variant1 that [LacticAcid] occurs in every process instance. 
RespondedExistence(ER Registration:LacticAcid),0.001,0.56578946,0.8613569,0.29556745,In variant 2 it is 29.556746% more likely than variant1 that if [ER Registration] occurs: also [LacticAcid] occurs. 
RespondedExistence(Leucocytes:Admission NC),0.001,0.50793654,0.8029851,0.29504853,In variant 2 it is 29.504854% more likely than variant1 that if [Leucocytes] occurs: also [Admission NC] occurs. 
AlternateResponse(ER Registration:LacticAcid),0.001,0.56578946,0.859882,0.29409254,In variant 2 it is 29.409254% more likely than variant1 that if [ER Registration] occurs: [LacticAcid] will occur afterwards without any other occurrence of [ER Registration] in between. 
AtMostOne(Leucocytes),0.001,0.5873016,0.3119403,0.2753613,In variant 1 it is 27.536129% more likely than variant2 that [Leucocytes] may occur at most one time in a process instance. 
