'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMostOne(Admission NC)';'AtMostOne';'Admission NC';;0.677;0.538;0.428
'Participation(Admission NC)';'Participation';'Admission NC';;0.795;0.632;0.502
'RespondedExistence(Admission NC, CRP)';'RespondedExistence';'Admission NC';'CRP';0.996;0.792;0.778
'NotChainSuccession(Admission NC, CRP)';'NotChainSuccession';'Admission NC';'CRP';0.835;0.664;0.652
'NotSuccession(Admission NC, ER Registration)';'NotSuccession';'Admission NC';'ER Registration';1.000;0.795;0.795
'RespondedExistence(Admission NC, ER Sepsis Triage)';'RespondedExistence';'Admission NC';'ER Sepsis Triage';1.000;0.795;0.795
'NotSuccession(Admission NC, ER Sepsis Triage)';'NotSuccession';'Admission NC';'ER Sepsis Triage';0.995;0.791;0.791
'NotSuccession(Admission NC, ER Triage)';'NotSuccession';'Admission NC';'ER Triage';0.999;0.794;0.794
'RespondedExistence(Admission NC, IV Antibiotics)';'RespondedExistence';'Admission NC';'IV Antibiotics';0.889;0.707;0.584
'NotChainSuccession(Admission NC, IV Antibiotics)';'NotChainSuccession';'Admission NC';'IV Antibiotics';0.999;0.794;0.656
'RespondedExistence(Admission NC, IV Liquid)';'RespondedExistence';'Admission NC';'IV Liquid';0.827;0.657;0.499
'NotChainSuccession(Admission NC, IV Liquid)';'NotChainSuccession';'Admission NC';'IV Liquid';0.982;0.746;0.593
'RespondedExistence(Admission NC, LacticAcid)';'RespondedExistence';'Admission NC';'LacticAcid';0.919;0.731;0.629
'NotChainSuccession(Admission NC, LacticAcid)';'NotChainSuccession';'Admission NC';'LacticAcid';0.977;0.777;0.669
'RespondedExistence(Admission NC, Leucocytes)';'RespondedExistence';'Admission NC';'Leucocytes';0.998;0.793;0.784
'NotChainSuccession(Admission NC, Leucocytes)';'NotChainSuccession';'Admission NC';'Leucocytes';0.821;0.652;0.645
'Response(Admission NC, Release A)';'Response';'Admission NC';'Release A';0.792;0.629;0.403
'NotChainSuccession(Admission NC, Release A)';'NotChainSuccession';'Admission NC';'Release A';0.887;0.568;0.451
'NotChainSuccession(Admission NC, Return ER)';'NotChainSuccession';'Admission NC';'Return ER';1.000;0.304;0.242
'Precedence(ER Registration, Admission NC)';'Precedence';'Admission NC';'ER Registration';1.000;1.000;0.795
'Precedence(ER Triage, Admission NC)';'Precedence';'Admission NC';'ER Triage';1.000;1.000;0.795
'Participation(CRP)';'Participation';'CRP';;0.982;0.965;0.948
'RespondedExistence(CRP, Admission NC)';'RespondedExistence';'CRP';'Admission NC';0.918;0.901;0.717
